"","x"
"1",0.642162010783685
"2",0.619656917122902
"3",0.172924513968124
"4",0.377286893463934
"5",0.383713443388074
"6",0.19029844919843
"7",0.419807032424653
"8",0.122464321773964
"9",0.181405618370333
"10",0.883456192041284
