"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0.093546596451114,0.440692815104993,0.0416361602770028,0.297140965371148,0.217667313924234,0.241580694242016,0.110621094847994,0.0385546474062137,0.0629241651547134,0.0388780213668996
"2",0.215043624026498,0,0.290111685585653,0.302593727981852,0.389160006061631,0.398374749113388,0.34360831019285,0.309492843271295,0.0927886616767021,0.172942204597201,0.152777449512872
"3",0.141345313637815,0.021405949365345,0,0.153148980177027,0.624097446738664,0.0678590599249398,0.102540800174954,0.0484916586345905,0.0185521565788287,0.0255917319958352,0.0358119444202519
"4",0.0519504918866821,0.0931902041749412,0.232788083309114,0,0.317966818753498,0.651086087023152,0.217448860379195,0.137913482825648,0.0473391117509559,0.0622004115822221,0.0667956474914054
"5",0,0,0.224280297279496,0.221826858791514,0,0.408481894490174,0.168911349486378,0.0472622758319683,0.156826442360553,0.0472002779423695,0.078959546882488
"6",0,0,0.0268342978120099,0.112015464749983,0.220827308425229,0,0.0358241760904528,0.298460213971503,0.105011276514276,0.308299377061205,0.150294728215693
"7",0,0,0,0,0.662182830159163,0.691780437268547,0,0.283182103249382,0.0824897118896628,0.253786451776864,0.105367935325715
"8",0,0,0,0,0.104347926355556,0.42637178027174,0.101821325921669,0,0.119474180653407,0.216158066178461,0.38217338500264
"9",0,0,0,0,0.274342120928723,0.17951350524275,0.065578188248712,0.149657208284917,0,0.605397566217523,0.170824088821555
"10",0,0,0,0,0.838949684855749,0.242439658004638,0.0412425135043917,0.120480921049937,0.14140367035149,0,0.580248084233718
"11",0,0,0,0,0,0,0,0,0,0,0
