"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.865808473992502,0.0115506140315572,0.0584055144178074,0.00694042462121882,0.0445116831500685,0.0377341149121175,0.0288118318705738,0.016502135480777,0.00538265413944913,0.0115343382089545,0.0077269684798822
"2",0.0496417754736537,0.784628801961843,0.0876941539750501,0.0658437576441482,0.129112523342824,0.0962515045720135,0.0918514206942085,0.0646313250005049,0.0208705466005557,0.0492903748865682,0.04904174903498
"3",0.0236132290621866,0.00364735146253084,0.830895596052534,0.0245421299716308,0.104143880781198,0.0188021140564958,0.0167203128910444,0.00823045791227933,0.00444587606760828,0.00572889611395348,0.00809280317376455
"4",0.0146361523961253,0.0217728594389301,0.0580882638527475,0.750893464311447,0.108318792875157,0.160807787611431,0.0561071960645875,0.0359789869799506,0.0133365495270726,0.0231487021899085,0.023638845547326
"5",0.000592899814336034,0.000575306100457066,0.040335667862533,0.0467631740579548,0.818503342683441,0.078680789970236,0.0275398010786087,0.0111026240688794,0.025749551480008,0.0137658386382042,0.0188974199964639
"6",0.00024077138004144,0.000301385755158246,0.00738161273486407,0.0225181884457715,0.0664021750922534,0.786424052134361,0.00823780683270723,0.0563499762595076,0.0232583663041867,0.0665882356727805,0.0436274083127856
"7",5.79577542835344e-05,0.0001089824623303,0.00529157823169393,0.0127468607166141,0.213765847098836,0.456277626730723,0.673704137129893,0.0795582626733945,0.027042141819137,0.100178367326021,0.047122955510054
"8",1.80897308026583e-05,1.87765808160871e-05,0.00151235827507764,0.00214491537103528,0.0568131919059406,0.145156077995637,0.030827062457228,0.653643698218829,0.040338911125912,0.077854916193222,0.150072841326779
"9",2.83750096686307e-05,2.20786522498901e-05,0.00285161079714111,0.00272487926249319,0.136735225087091,0.0659173541179259,0.0189542773221377,0.0463691250910994,0.687693863365856,0.184888191310961,0.069834286915831
"10",0.000143620586989026,1.15528925536885e-05,0.0151744351857531,0.00119965504469766,0.548843496976734,0.0507066530014226,0.0156249028018788,0.0206434124125276,0.0235383666094466,0.811554789723171,0.119803495926337
"11",0,0,0,0,0,0,0,0,0,0,1
