"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0.0488439444831333,0.277017588407644,0.0022612038992679,0.167278038006292,3.20149700001463e-06,0.1350812199814,2.2794688320522e-05,0.00445251899332083,9.0042026424009e-06,0.0110885991369829
"2",0.0609650875651265,0,0.000128572784657303,0.0858773382922622,0.000144690017915103,0.110157625054441,0.00016458495391115,0.0739364570789317,0.0015018673220135,7.84095349353073e-05,0.00108489425129635
"3",0.111010310839975,9.18792274798782e-06,0,0.11337448377696,0.54281007481474,0.00959061136336366,0.0558515591179791,0.00201690886042428,4.50863576489071e-06,3.21614236874575e-06,0.014805976063992
"4",0.000945605766611585,0.0408688759750432,0.109941244343268,0,0.000267479047615277,0.340270025942926,4.68217228583562e-05,0.018986883271026,7.81636157341805e-06,1.35209727799513e-05,0.0113811146151639
"5",0,0,0.163626427596635,1.52034240298102e-06,0,0.297735836173105,0.115424812345266,0.0061824352211849,0.107725493629282,0.0103216465987982,0.049599443749425
"6",0,0,5.63575349349319e-06,0.0841889141722205,0.170941501882862,0,0.00628408774676411,0.22513726851592,2.82000577871197e-05,0.241678393421718,0.104788612822472
"7",0,0,0,0,0.177102619376295,4.05340389885165e-06,0,0.0637361149792803,0.0109755644110702,7.9867542443326e-05,0.0210204857907351
"8",0,0,0,0,0.0014088045680837,0.314593634345074,0.0459405817328149,0,0.0001664291813923,0.129214789418093,0.292603385663378
"9",0,0,0,0,0.176455994150713,0.000783599686434025,0.0187711055189229,8.03112874224288e-05,0,0.425431312027424,0.0973450215755037
"10",0,0,0,0,3.50006698182405e-07,0.034117610271665,1.04571968348578e-05,0.0156930580041893,0.0185872780095385,0,0.0918288941016846
"11",0,0,0,0,0,0,0,0,0,0,0
